Date,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips
11/10/2019,,"1,940,232","6,941,061","37,347,242"
11/11/2019,,"1,789,802","7,091,491","37,799,863"
11/12/2019,,"1,749,438","7,131,855","38,775,442"
11/13/2019,,"1,713,630","7,167,663","40,226,754"
11/14/2019,,"1,695,019","7,186,274","39,832,546"
11/27/2019,Camden County,"105,094","400,434","2,542,918"
11/27/2019,Cape May County,"21,914","70,363","361,875"
11/27/2019,Cumberland County,"27,908","122,603","795,244"
11/27/2019,Essex County,"177,398","619,924","3,919,666"
11/27/2019,Gloucester County,"48,566","241,951","1,337,026"
11/27/2019,Hudson County,"175,998","497,997","2,940,824"
11/27/2019,Hunterdon County,"18,434","105,899","548,591"
11/27/2019,Mercer County,"71,713","296,968","1,758,768"
11/27/2019,Middlesex County,"143,199","683,950","3,944,542"
11/27/2019,Monmouth County,"103,826","515,629","2,834,645"
11/27/2019,Morris County,"79,848","412,869","2,249,950"
11/27/2019,Ocean County,"98,925","500,887","2,871,122"
11/27/2019,Passaic County,"93,638","408,134","2,675,896"
11/27/2019,Salem County,"11,541","50,875","273,123"
11/27/2019,Somerset County,"50,802","279,350","1,526,385"
11/27/2019,Sussex County,"20,733","119,636","704,267"
11/27/2019,Union County,"106,561","449,800","2,834,513"
11/27/2019,Warren County,"16,478","88,978","505,866"
11/27/2019,Atlantic County,"56,112","208,506","1,209,072"
11/27/2019,Bergen County,"174,584","759,245","4,450,670"
11/27/2019,Burlington County,"74,351","369,672","2,075,235"
11/28/2019,Atlantic County,"63,175","201,443","933,532"
11/28/2019,Bergen County,"209,036","724,793","3,254,167"
11/28/2019,Burlington County,"93,197","350,826","1,667,701"
11/28/2019,Camden County,"120,386","385,142","2,001,128"
11/28/2019,Cape May County,"24,178","68,099","275,627"
11/28/2019,Cumberland County,"32,824","117,687","612,446"
11/28/2019,Essex County,"212,811","584,511","2,975,772"
11/28/2019,Gloucester County,"60,078","230,439","1,067,089"
11/28/2019,Hudson County,"199,523","474,472","2,257,063"
11/28/2019,Hunterdon County,"21,787","102,546","431,477"
11/28/2019,Mercer County,"86,473","282,208","1,336,968"
11/28/2019,Middlesex County,"177,124","650,025","2,981,328"
11/28/2019,Monmouth County,"123,017","496,438","2,147,155"
11/28/2019,Morris County,"98,931","393,786","1,693,507"
11/28/2019,Ocean County,"123,820","475,992","2,300,819"
11/28/2019,Passaic County,"115,505","386,267","2,050,824"
11/28/2019,Salem County,"14,009","48,407","207,010"
11/28/2019,Somerset County,"64,853","265,299","1,209,697"
11/28/2019,Sussex County,"27,703","112,666","514,490"
11/28/2019,Union County,"129,227","427,134","2,113,171"
11/28/2019,Warren County,"20,725","84,731","414,645"
11/29/2019,Atlantic County,"58,256","206,362","1,125,615"
11/29/2019,Bergen County,"192,784","741,045","4,089,166"
11/29/2019,Burlington County,"84,356","359,667","2,092,456"
11/29/2019,Camden County,"113,005","392,523","2,478,548"
11/29/2019,Cape May County,"23,664","68,613","337,280"
11/29/2019,Cumberland County,"30,427","120,084","770,047"
11/29/2019,Essex County,"192,693","604,629","3,741,367"
11/29/2019,Gloucester County,"55,916","234,601","1,390,503"
11/29/2019,Hudson County,"185,120","488,875","2,705,755"
11/29/2019,Hunterdon County,"20,300","104,033","540,163"
11/29/2019,Mercer County,"77,172","291,509","1,690,814"
11/29/2019,Middlesex County,"161,659","665,490","3,746,890"
11/29/2019,Monmouth County,"119,125","500,330","2,632,540"
11/29/2019,Morris County,"93,318","399,399","2,142,455"
11/29/2019,Ocean County,"113,696","486,116","2,880,459"
11/29/2019,Passaic County,"104,284","397,488","2,705,711"
11/29/2019,Salem County,"13,203","49,213","248,796"
11/29/2019,Somerset County,"57,859","272,293","1,493,420"
11/29/2019,Sussex County,"24,493","115,876","690,067"
11/29/2019,Union County,"116,250","440,111","2,730,629"
11/29/2019,Warren County,"18,715","86,741","520,034"
11/30/2019,Bergen County,"193,107","740,722","4,134,915"
11/30/2019,Burlington County,"88,547","355,476","1,991,213"
11/30/2019,Camden County,"117,834","387,694","2,326,313"
11/30/2019,Cape May County,"23,409","68,868","354,580"
11/30/2019,Cumberland County,"31,712","118,799","714,225"
11/30/2019,Essex County,"197,416","599,906","3,599,731"
11/30/2019,Gloucester County,"59,292","231,225","1,349,568"
11/30/2019,Hudson County,"192,975","481,020","2,709,516"
11/30/2019,Hunterdon County,"19,682","104,651","532,847"
11/30/2019,Mercer County,"80,148","288,533","1,684,113"
11/30/2019,Middlesex County,"166,198","660,951","3,738,876"
11/30/2019,Monmouth County,"122,051","497,404","2,636,056"
11/30/2019,Morris County,"92,831","399,886","2,177,094"
11/30/2019,Ocean County,"118,606","481,206","2,753,619"
11/30/2019,Passaic County,"108,879","392,893","2,549,756"
11/30/2019,Salem County,"13,542","48,874","246,469"
11/30/2019,Somerset County,"59,235","270,917","1,599,156"
11/30/2019,Sussex County,"25,413","114,956","682,306"
11/30/2019,Union County,"118,527","437,834","2,632,521"
11/30/2019,Warren County,"18,968","86,488","471,554"
11/30/2019,Atlantic County,"61,725","202,893","1,087,102"
11/24/2019,,"2,069,218","6,812,075","35,162,477"
11/25/2019,,"1,728,931","7,152,362","39,054,805"
11/26/2019,,"1,690,745","7,190,548","40,830,074"
11/27/2019,,"1,677,623","7,203,670","42,360,198"
11/28/2019,,"2,018,382","6,862,911","32,445,616"
11/29/2019,,"1,856,295","7,024,998","40,752,715"
11/30/2019,,"1,910,097","6,971,196","39,971,530"
12/23/2019,Atlantic County,"60,627","203,991","1,173,083"
12/23/2019,Bergen County,"176,046","757,783","4,523,431"
12/23/2019,Burlington County,"83,993","360,030","2,046,027"
12/23/2019,Camden County,"108,442","397,086","2,400,370"
12/23/2019,Cape May County,"22,109","70,168","415,514"
12/23/2019,Cumberland County,"30,626","119,885","707,210"
12/23/2019,Essex County,"189,443","607,879","3,647,610"
12/23/2019,Gloucester County,"53,813","236,704","1,429,311"
12/23/2019,Hudson County,"184,867","489,128","2,846,539"
12/23/2019,Hunterdon County,"17,178","107,155","614,636"
12/23/2019,Mercer County,"74,684","293,997","1,782,138"
12/23/2019,Middlesex County,"152,601","674,548","3,893,340"
12/23/2019,Monmouth County,"110,421","509,034","2,902,654"
12/23/2019,Morris County,"85,161","407,556","2,391,791"
12/23/2019,Ocean County,"103,593","496,219","3,070,609"
12/23/2019,Passaic County,"100,695","401,077","2,510,057"
12/23/2019,Salem County,"11,927","50,489","272,383"
12/23/2019,Somerset County,"54,055","276,097","1,551,306"
12/23/2019,Sussex County,"21,025","119,344","748,279"
12/23/2019,Union County,"110,530","445,831","2,836,503"
12/23/2019,Warren County,"18,090","87,366","533,519"
12/24/2019,Atlantic County,"59,421","205,197","1,095,884"
12/24/2019,Bergen County,"189,751","744,078","4,452,757"
12/24/2019,Burlington County,"84,510","359,513","2,059,621"
12/24/2019,Camden County,"111,062","394,466","2,326,778"
12/24/2019,Cape May County,"22,281","69,996","380,592"
12/24/2019,Cumberland County,"31,579","118,932","715,096"
12/24/2019,Essex County,"194,311","603,011","3,448,240"
12/24/2019,Gloucester County,"54,605","235,912","1,386,400"
12/24/2019,Hudson County,"190,470","483,525","2,662,968"
12/24/2019,Hunterdon County,"19,043","105,290","557,644"
12/24/2019,Mercer County,"77,166","291,515","1,705,728"
12/24/2019,Middlesex County,"159,240","667,909","3,703,616"
12/24/2019,Monmouth County,"114,863","504,592","2,769,366"
12/24/2019,Morris County,"90,087","402,630","2,222,786"
12/24/2019,Ocean County,"108,910","490,902","2,922,376"
12/24/2019,Passaic County,"106,961","394,811","2,270,921"
12/24/2019,Salem County,"13,010","49,406","249,266"
12/24/2019,Somerset County,"57,069","273,083","1,478,063"
12/24/2019,Sussex County,"23,124","117,245","686,689"
12/24/2019,Union County,"117,950","438,411","2,701,671"
12/24/2019,Warren County,"18,377","87,079","497,572"
12/25/2019,Atlantic County,"68,149","196,469","860,647"
12/25/2019,Bergen County,"222,463","711,366","3,106,111"
12/25/2019,Burlington County,"102,598","341,425","1,441,208"
12/25/2019,Camden County,"127,243","378,285","1,724,183"
12/25/2019,Cape May County,"25,796","66,481","280,241"
12/25/2019,Cumberland County,"36,537","113,974","567,031"
12/25/2019,Essex County,"222,834","574,488","2,579,612"
12/25/2019,Gloucester County,"65,767","224,750","948,869"
12/25/2019,Hudson County,"212,019","461,976","2,111,632"
12/25/2019,Hunterdon County,"23,441","100,892","387,677"
12/25/2019,Mercer County,"92,037","276,644","1,264,330"
12/25/2019,Middlesex County,"189,309","637,840","2,673,622"
12/25/2019,Monmouth County,"135,175","484,280","1,986,424"
12/25/2019,Morris County,"107,902","384,815","1,578,325"
12/25/2019,Ocean County,"133,374","466,438","2,068,390"
12/25/2019,Passaic County,"122,956","378,816","1,685,819"
12/25/2019,Salem County,"15,157","47,259","194,237"
12/25/2019,Somerset County,"68,177","261,975","1,044,795"
12/25/2019,Sussex County,"29,796","110,573","475,106"
12/25/2019,Union County,"135,439","420,922","1,969,265"
12/25/2019,Warren County,"22,325","83,131","359,068"
12/26/2019,Atlantic County,"64,132","200,486","955,070"
12/26/2019,Bergen County,"198,400","735,429","3,785,213"
12/26/2019,Burlington County,"89,243","354,780","1,732,339"
12/26/2019,Camden County,"121,225","384,303","2,056,104"
12/26/2019,Cape May County,"24,967","67,310","301,289"
12/26/2019,Cumberland County,"32,418","118,093","640,078"
12/26/2019,Essex County,"208,367","588,955","3,005,419"
12/26/2019,Gloucester County,"59,380","231,137","1,187,859"
12/26/2019,Hudson County,"199,486","474,509","2,365,209"
12/26/2019,Hunterdon County,"20,159","104,174","507,001"
12/26/2019,Mercer County,"82,421","286,260","1,485,344"
12/26/2019,Middlesex County,"170,623","656,526","3,373,904"
12/26/2019,Monmouth County,"122,959","496,496","2,468,777"
12/26/2019,Morris County,"93,619","399,098","1,942,226"
12/26/2019,Ocean County,"121,702","478,110","2,575,899"
12/26/2019,Passaic County,"110,014","391,758","2,018,633"
12/26/2019,Salem County,"13,258","49,158","246,506"
12/26/2019,Somerset County,"61,415","268,737","1,307,553"
12/26/2019,Sussex County,"25,756","114,613","607,789"
12/26/2019,Union County,"124,543","431,818","2,352,668"
12/26/2019,Warren County,"20,536","84,920","422,859"
12/27/2019,Atlantic County,"61,040","203,578","1,023,392"
12/27/2019,Bergen County,"186,764","747,065","3,943,215"
12/27/2019,Burlington County,"84,087","359,936","1,839,213"
12/27/2019,Camden County,"116,145","389,383","2,285,858"
12/27/2019,Cape May County,"24,230","68,047","323,881"
12/27/2019,Cumberland County,"31,820","118,691","657,577"
12/27/2019,Essex County,"197,438","599,884","3,240,414"
12/27/2019,Gloucester County,"55,317","235,200","1,269,964"
12/27/2019,Hudson County,"192,310","481,685","2,523,569"
12/27/2019,Hunterdon County,"18,061","106,272","513,783"
12/27/2019,Mercer County,"78,477","290,204","1,592,968"
12/27/2019,Middlesex County,"161,071","666,078","3,487,237"
12/27/2019,Monmouth County,"117,406","502,049","2,614,860"
12/27/2019,Morris County,"90,058","402,659","2,046,935"
12/27/2019,Ocean County,"112,559","487,253","2,560,933"
12/27/2019,Passaic County,"107,073","394,699","2,121,095"
12/27/2019,Salem County,"12,555","49,861","248,080"
12/27/2019,Somerset County,"56,355","273,797","1,421,381"
12/27/2019,Sussex County,"22,992","117,377","632,636"
12/27/2019,Union County,"116,255","440,106","2,415,025"
12/27/2019,Warren County,"19,272","86,184","460,772"
12/28/2019,Salem County,"13,535","48,881","256,509"
12/28/2019,Somerset County,"61,701","268,451","1,377,219"
12/28/2019,Sussex County,"25,461","114,908","657,242"
12/28/2019,Union County,"125,872","430,489","2,425,964"
12/28/2019,Warren County,"21,626","83,830","497,552"
12/28/2019,Atlantic County,"64,522","200,096","1,005,927"
12/28/2019,Bergen County,"201,813","732,016","4,012,339"
12/28/2019,Burlington County,"91,552","352,471","1,830,941"
12/28/2019,Camden County,"121,037","384,491","2,151,298"
12/28/2019,Cape May County,"25,143","67,134","317,627"
12/28/2019,Cumberland County,"33,952","116,559","698,921"
12/28/2019,Essex County,"207,885","589,437","3,239,008"
12/28/2019,Gloucester County,"56,670","233,847","1,225,501"
12/28/2019,Hudson County,"201,616","472,379","2,503,108"
12/28/2019,Hunterdon County,"20,593","103,740","530,135"
12/28/2019,Mercer County,"82,922","285,759","1,583,417"
12/28/2019,Middlesex County,"172,115","655,034","3,505,218"
12/28/2019,Monmouth County,"123,317","496,138","2,578,670"
12/28/2019,Morris County,"94,136","398,581","2,111,265"
12/28/2019,Ocean County,"121,317","478,495","2,554,878"
12/28/2019,Passaic County,"115,004","386,768","2,107,940"
12/23/2019,,"1,769,926","7,111,367","42,296,310"
12/24/2019,,"1,843,790","7,037,503","40,294,034"
12/25/2019,,"2,158,494","6,722,799","29,306,592"
12/26/2019,,"1,964,623","6,916,670","35,337,739"
12/27/2019,,"1,861,285","7,020,008","37,222,788"
12/28/2019,,"1,981,789","6,899,504","37,170,679"
12/29/2019,Atlantic County,"73,311","191,307","847,668"
12/29/2019,Bergen County,"239,796","694,033","3,175,499"
12/29/2019,Burlington County,"109,812","334,211","1,495,027"
12/29/2019,Camden County,"142,043","363,485","1,692,943"
12/29/2019,Cape May County,"29,309","62,968","249,882"
12/29/2019,Cumberland County,"39,830","110,681","502,396"
12/29/2019,Essex County,"239,193","558,129","2,668,257"
12/29/2019,Gloucester County,"72,548","217,969","998,635"
12/29/2019,Hudson County,"229,249","444,746","1,998,546"
12/29/2019,Hunterdon County,"25,705","98,628","422,626"
12/29/2019,Mercer County,"99,425","269,256","1,346,035"
12/29/2019,Middlesex County,"205,157","621,992","2,821,697"
12/29/2019,Monmouth County,"148,339","471,116","2,046,722"
12/29/2019,Morris County,"118,229","374,488","1,679,700"
12/29/2019,Ocean County,"146,804","453,008","2,063,918"
12/29/2019,Passaic County,"131,111","370,661","1,765,468"
12/29/2019,Salem County,"16,502","45,914","202,112"
12/29/2019,Somerset County,"73,880","256,272","1,072,316"
12/29/2019,Sussex County,"32,021","108,348","485,056"
12/29/2019,Union County,"146,985","409,376","2,031,727"
12/29/2019,Warren County,"25,171","80,285","428,709"
12/30/2019,Atlantic County,"61,934","202,684","880,731"
12/30/2019,Bergen County,"198,976","734,853","3,361,576"
12/30/2019,Burlington County,"91,024","352,999","1,546,051"
12/30/2019,Camden County,"118,100","387,428","1,866,952"
12/30/2019,Cape May County,"24,420","67,857","276,999"
12/30/2019,Cumberland County,"33,798","116,713","538,827"
12/30/2019,Essex County,"208,380","588,942","2,893,499"
12/30/2019,Gloucester County,"59,458","231,059","1,018,474"
12/30/2019,Hudson County,"202,355","471,640","2,192,789"
12/30/2019,Hunterdon County,"20,817","103,516","416,197"
12/30/2019,Mercer County,"82,847","285,834","1,325,647"
12/30/2019,Middlesex County,"169,258","657,891","2,930,216"
12/30/2019,Monmouth County,"126,161","493,294","2,059,450"
12/30/2019,Morris County,"96,056","396,661","1,680,675"
12/30/2019,Ocean County,"122,844","476,968","2,135,851"
12/30/2019,Passaic County,"111,951","389,821","1,834,454"
12/30/2019,Salem County,"13,672","48,744","202,572"
12/30/2019,Somerset County,"61,266","268,886","1,120,531"
12/30/2019,Sussex County,"26,049","114,320","479,279"
12/30/2019,Union County,"124,358","432,003","2,109,718"
12/30/2019,Warren County,"20,592","84,864","372,834"
12/31/2019,Atlantic County,"51,129","213,489","1,187,514"
12/31/2019,Bergen County,"171,407","762,422","4,334,577"
12/31/2019,Burlington County,"74,944","369,079","2,094,660"
12/31/2019,Camden County,"98,046","407,482","2,523,552"
12/31/2019,Cape May County,"20,288","71,989","408,211"
12/31/2019,Cumberland County,"27,403","123,108","739,922"
12/31/2019,Essex County,"181,599","615,723","3,688,182"
12/31/2019,Gloucester County,"49,165","241,352","1,414,151"
12/31/2019,Hudson County,"182,601","491,394","2,697,795"
12/31/2019,Hunterdon County,"17,114","107,219","550,672"
12/31/2019,Mercer County,"69,963","298,718","1,739,557"
12/31/2019,Middlesex County,"142,745","684,404","3,822,692"
12/31/2019,Monmouth County,"103,102","516,353","2,868,394"
12/31/2019,Morris County,"79,882","412,835","2,228,789"
12/31/2019,Ocean County,"101,774","498,038","2,957,440"
12/31/2019,Passaic County,"98,229","403,543","2,342,287"
12/31/2019,Salem County,"10,857","51,559","300,738"
12/31/2019,Somerset County,"51,048","279,104","1,467,984"
12/31/2019,Sussex County,"21,011","119,358","655,829"
12/31/2019,Union County,"107,688","448,673","2,715,466"
12/31/2019,Warren County,"16,295","89,161","487,367"
1/1/2020,Atlantic County,"69,389","196,040","788,240"
1/1/2020,Bergen County,"255,719","680,973","2,780,919"
1/1/2020,Burlington County,"116,282","329,102","1,351,837"
1/1/2020,Camden County,"140,902","366,176","1,493,737"
1/1/2020,Cape May County,"26,719","65,841","293,162"
1/1/2020,Cumberland County,"37,935","113,037","456,150"
1/1/2020,Essex County,"235,064","564,703","2,303,989"
1/1/2020,Gloucester County,"74,411","216,997","887,131"
1/1/2020,Hudson County,"229,989","446,072","1,817,931"
1/1/2020,Hunterdon County,"29,041","95,673","356,210"
1/1/2020,Mercer County,"102,209","267,602","1,127,727"
1/1/2020,Middlesex County,"213,338","616,347","2,384,820"
1/1/2020,Monmouth County,"157,351","464,003","1,901,918"
1/1/2020,Morris County,"127,992","366,236","1,403,599"
1/1/2020,Ocean County,"153,132","448,519","1,847,914"
1/1/2020,Passaic County,"134,999","368,311","1,432,318"
1/1/2020,Salem County,"15,676","46,931","196,635"
1/1/2020,Somerset County,"84,727","246,437","938,525"
1/1/2020,Sussex County,"35,373","105,426","383,057"
1/1/2020,Union County,"151,879","406,188","1,728,418"
1/1/2020,Warren County,"26,244","79,535","303,475"
1/2/2020,Atlantic County,"57,267","208,162","1,060,295"
1/2/2020,Bergen County,"198,936","737,756","3,844,585"
1/2/2020,Burlington County,"86,790","358,594","1,825,828"
1/2/2020,Camden County,"110,719","396,359","2,040,044"
1/2/2020,Cape May County,"22,077","70,483","365,193"
1/2/2020,Cumberland County,"29,650","121,322","627,602"
1/2/2020,Essex County,"189,773","609,994","3,127,489"
1/2/2020,Gloucester County,"57,225","234,183","1,234,917"
1/2/2020,Hudson County,"191,662","484,399","2,515,910"
1/2/2020,Hunterdon County,"20,546","104,168","497,934"
1/2/2020,Mercer County,"80,414","289,397","1,496,723"
1/2/2020,Middlesex County,"165,816","663,869","3,262,437"
1/2/2020,Monmouth County,"122,506","498,848","2,526,772"
1/2/2020,Morris County,"96,747","397,481","1,880,097"
1/2/2020,Ocean County,"120,737","480,914","2,484,103"
1/2/2020,Passaic County,"107,912","395,398","1,999,454"
1/2/2020,Salem County,"12,051","50,556","259,538"
1/2/2020,Somerset County,"61,940","269,224","1,281,220"
1/2/2020,Sussex County,"25,325","115,474","547,523"
1/2/2020,Union County,"122,083","435,984","2,368,212"
1/2/2020,Warren County,"19,146","86,633","417,724"
11/8/2020,,"3,009,294","5,899,226","29,020,390"
11/9/2020,,"2,837,176","6,071,344","28,797,670"
11/10/2020,,"2,733,509","6,175,011","28,983,424"
11/11/2020,,"2,785,175","6,123,345","26,990,078"
